Bundesland,date,Impfserie1,Impfserie2,Impfserie3,Impfserie4
Brandenburg,2020-12-30,1501,NA,NA,NA
Mecklenburg-Vorpommern,2020-12-30,3637,NA,NA,NA
Sachsen,2020-12-30,1510,NA,NA,NA
Sachsen-Anhalt,2020-12-30,1486,NA,NA,NA
Thüringen,2020-12-30,1113,NA,NA,NA
Schleswig-Holstein,2020-12-31,1835,NA,NA,NA
Hamburg,2020-12-31,780,NA,NA,NA
Niedersachsen,2020-12-31,805,NA,NA,NA
Bremen,2020-12-31,51,NA,NA,NA
Nordrhein-Westfalen,2020-12-31,17995,NA,NA,NA
Hessen,2020-12-31,5738,NA,NA,NA
Rheinland-Pfalz,2020-12-31,2083,NA,NA,NA
Baden-Württemberg,2020-12-31,4862,NA,NA,NA
Bayern,2020-12-31,10741,NA,NA,NA
Saarland,2020-12-31,597,NA,NA,NA
Berlin,2020-12-31,2155,NA,NA,NA
Brandenburg,2020-12-31,186,NA,NA,NA
Mecklenburg-Vorpommern,2020-12-31,462,NA,NA,NA
Sachsen,2020-12-31,606,NA,NA,NA
Sachsen-Anhalt,2020-12-31,874,NA,NA,NA
Thüringen,2020-12-31,169,NA,NA,NA
Schleswig-Holstein,2021-01-01,688,NA,NA,NA
Hamburg,2021-01-01,283,NA,NA,NA
Niedersachsen,2021-01-01,385,NA,NA,NA
Bremen,2021-01-01,73,NA,NA,NA
Nordrhein-Westfalen,2021-01-01,4868,NA,NA,NA
Hessen,2021-01-01,3021,NA,NA,NA
Rheinland-Pfalz,2021-01-01,361,NA,NA,NA
Baden-Württemberg,2021-01-01,3485,NA,NA,NA
Bayern,2021-01-01,9077,NA,NA,NA
Saarland,2021-01-01,602,NA,NA,NA
Berlin,2021-01-01,2045,NA,NA,NA
Brandenburg,2021-01-01,105,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-01,2,NA,NA,NA
Sachsen,2021-01-01,137,NA,NA,NA
Sachsen-Anhalt,2021-01-01,478,NA,NA,NA
Thüringen,2021-01-01,62,NA,NA,NA
Schleswig-Holstein,2021-01-02,1199,NA,NA,NA
Hamburg,2021-01-02,662,NA,NA,NA
Niedersachsen,2021-01-02,1054,NA,NA,NA
Bremen,2021-01-02,96,NA,NA,NA
Nordrhein-Westfalen,2021-01-02,17828,NA,NA,NA
Hessen,2021-01-02,4810,NA,NA,NA
Rheinland-Pfalz,2021-01-02,818,NA,NA,NA
Baden-Württemberg,2021-01-02,4350,NA,NA,NA
Bayern,2021-01-02,13460,NA,NA,NA
Saarland,2021-01-02,834,NA,NA,NA
Berlin,2021-01-02,1473,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-02,19,NA,NA,NA
Sachsen,2021-01-02,329,NA,NA,NA
Sachsen-Anhalt,2021-01-02,806,NA,NA,NA
Thüringen,2021-01-02,66,NA,NA,NA
Schleswig-Holstein,2021-01-03,621,NA,NA,NA
Hamburg,2021-01-03,440,NA,NA,NA
Niedersachsen,2021-01-03,419,NA,NA,NA
Bremen,2021-01-03,67,NA,NA,NA
Nordrhein-Westfalen,2021-01-03,4953,NA,NA,NA
Hessen,2021-01-03,3031,NA,NA,NA
Rheinland-Pfalz,2021-01-03,425,NA,NA,NA
Baden-Württemberg,2021-01-03,3453,NA,NA,NA
Bayern,2021-01-03,7396,NA,NA,NA
Berlin,2021-01-03,918,NA,NA,NA
Brandenburg,2021-01-03,8,NA,NA,NA
Sachsen,2021-01-03,502,NA,NA,NA
Sachsen-Anhalt,2021-01-03,281,NA,NA,NA
Thüringen,2021-01-03,59,NA,NA,NA
Schleswig-Holstein,2021-01-04,3516,NA,NA,NA
Hamburg,2021-01-04,614,NA,NA,NA
Niedersachsen,2021-01-04,3894,NA,NA,NA
Bremen,2021-01-04,700,NA,NA,NA
Nordrhein-Westfalen,2021-01-04,6119,NA,NA,NA
Hessen,2021-01-04,4183,NA,NA,NA
Rheinland-Pfalz,2021-01-04,1622,NA,NA,NA
Baden-Württemberg,2021-01-04,5630,NA,NA,NA
Bayern,2021-01-04,11260,NA,NA,NA
Saarland,2021-01-04,687,NA,NA,NA
Berlin,2021-01-04,1629,NA,NA,NA
Brandenburg,2021-01-04,25,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-04,2016,NA,NA,NA
Sachsen,2021-01-04,1854,NA,NA,NA
Sachsen-Anhalt,2021-01-04,1552,NA,NA,NA
Thüringen,2021-01-04,1032,NA,NA,NA
Schleswig-Holstein,2021-01-05,3429,NA,NA,NA
Hamburg,2021-01-05,1231,NA,NA,NA
Niedersachsen,2021-01-05,7763,NA,NA,NA
Bremen,2021-01-05,564,NA,NA,NA
Nordrhein-Westfalen,2021-01-05,8351,NA,NA,NA
Hessen,2021-01-05,3143,NA,NA,NA
Rheinland-Pfalz,2021-01-05,2814,NA,NA,NA
Baden-Württemberg,2021-01-05,6769,NA,NA,NA
Bayern,2021-01-05,4152,NA,NA,NA
Saarland,2021-01-05,798,NA,NA,NA
Berlin,2021-01-05,2616,NA,NA,NA
Brandenburg,2021-01-05,2297,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-05,2879,NA,NA,NA
Sachsen,2021-01-05,2678,NA,NA,NA
Sachsen-Anhalt,2021-01-05,941,NA,NA,NA
Thüringen,2021-01-05,2053,NA,NA,NA
Schleswig-Holstein,2021-01-06,3041,NA,NA,NA
Hamburg,2021-01-06,1176,NA,NA,NA
Niedersachsen,2021-01-06,8645,NA,NA,NA
Bremen,2021-01-06,638,NA,NA,NA
Nordrhein-Westfalen,2021-01-06,21323,NA,NA,NA
Hessen,2021-01-06,3074,NA,NA,NA
Rheinland-Pfalz,2021-01-06,4749,NA,NA,NA
Baden-Württemberg,2021-01-06,5741,NA,NA,NA
Bayern,2021-01-06,1443,NA,NA,NA
Saarland,2021-01-06,876,NA,NA,NA
Berlin,2021-01-06,2273,NA,NA,NA
Brandenburg,2021-01-06,2904,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-06,2183,NA,NA,NA
Sachsen,2021-01-06,2277,NA,NA,NA
Sachsen-Anhalt,2021-01-06,245,NA,NA,NA
Thüringen,2021-01-06,2497,NA,NA,NA
Schleswig-Holstein,2021-01-07,4191,NA,NA,NA
Hamburg,2021-01-07,1497,NA,NA,NA
Niedersachsen,2021-01-07,9491,NA,NA,NA
Bremen,2021-01-07,662,NA,NA,NA
Nordrhein-Westfalen,2021-01-07,5561,NA,NA,NA
Hessen,2021-01-07,2084,NA,NA,NA
Rheinland-Pfalz,2021-01-07,6792,NA,NA,NA
Baden-Württemberg,2021-01-07,7609,NA,NA,NA
Bayern,2021-01-07,4036,NA,NA,NA
Saarland,2021-01-07,836,NA,NA,NA
Berlin,2021-01-07,2242,NA,NA,NA
Brandenburg,2021-01-07,3015,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-07,1582,NA,NA,NA
Sachsen,2021-01-07,2280,NA,NA,NA
Sachsen-Anhalt,2021-01-07,1050,NA,NA,NA
Thüringen,2021-01-07,1980,NA,NA,NA
Schleswig-Holstein,2021-01-08,3937,NA,NA,NA
Hamburg,2021-01-08,1416,NA,NA,NA
Niedersachsen,2021-01-08,9062,NA,NA,NA
Bremen,2021-01-08,723,NA,NA,NA
Nordrhein-Westfalen,2021-01-08,15908,NA,NA,NA
Hessen,2021-01-08,2186,NA,NA,NA
Rheinland-Pfalz,2021-01-08,5700,NA,NA,NA
Baden-Württemberg,2021-01-08,7127,NA,NA,NA
Bayern,2021-01-08,4703,NA,NA,NA
Saarland,2021-01-08,874,NA,NA,NA
Berlin,2021-01-08,2445,NA,NA,NA
Brandenburg,2021-01-08,2375,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-08,650,NA,NA,NA
Sachsen,2021-01-08,2372,NA,NA,NA
Sachsen-Anhalt,2021-01-08,1265,NA,NA,NA
Thüringen,2021-01-08,2087,NA,NA,NA
NA,2021-01-08,45,NA,NA,NA
Schleswig-Holstein,2021-01-09,3206,NA,NA,NA
Hamburg,2021-01-09,1476,NA,NA,NA
Niedersachsen,2021-01-09,3143,NA,NA,NA
Bremen,2021-01-09,519,NA,NA,NA
Nordrhein-Westfalen,2021-01-09,21658,NA,NA,NA
Hessen,2021-01-09,3583,NA,NA,NA
Rheinland-Pfalz,2021-01-09,2577,NA,NA,NA
Baden-Württemberg,2021-01-09,6185,NA,NA,NA
Bayern,2021-01-09,13463,NA,NA,NA
Saarland,2021-01-09,926,NA,NA,NA
Berlin,2021-01-09,2137,NA,NA,NA
Brandenburg,2021-01-09,168,NA,NA,NA
Sachsen,2021-01-09,1128,NA,NA,NA
Sachsen-Anhalt,2021-01-09,369,NA,NA,NA
Thüringen,2021-01-09,65,NA,NA,NA
Schleswig-Holstein,2021-01-10,3145,NA,NA,NA
Hamburg,2021-01-10,1350,NA,NA,NA
Niedersachsen,2021-01-10,670,NA,NA,NA
Bremen,2021-01-10,492,NA,NA,NA
Nordrhein-Westfalen,2021-01-10,7253,NA,NA,NA
Hessen,2021-01-10,2201,NA,NA,NA
Rheinland-Pfalz,2021-01-10,2091,NA,NA,NA
Baden-Württemberg,2021-01-10,4642,NA,NA,NA
Bayern,2021-01-10,11938,NA,NA,NA
Saarland,2021-01-10,1,NA,NA,NA
Berlin,2021-01-10,1024,NA,NA,NA
Brandenburg,2021-01-10,1,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-10,4,NA,NA,NA
Sachsen,2021-01-10,1031,NA,NA,NA
Sachsen-Anhalt,2021-01-10,1,NA,NA,NA
Thüringen,2021-01-10,2,NA,NA,NA
Schleswig-Holstein,2021-01-11,4061,NA,NA,NA
Hamburg,2021-01-11,1880,NA,NA,NA
Niedersachsen,2021-01-11,8720,NA,NA,NA
Bremen,2021-01-11,692,NA,NA,NA
Nordrhein-Westfalen,2021-01-11,6000,NA,NA,NA
Hessen,2021-01-11,3134,NA,NA,NA
Rheinland-Pfalz,2021-01-11,7544,NA,NA,NA
Baden-Württemberg,2021-01-11,6155,NA,NA,NA
Bayern,2021-01-11,16601,NA,NA,NA
Saarland,2021-01-11,975,NA,NA,NA
Berlin,2021-01-11,1880,NA,NA,NA
Brandenburg,2021-01-11,1632,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-11,1499,NA,NA,NA
Sachsen,2021-01-11,3919,NA,NA,NA
Sachsen-Anhalt,2021-01-11,1936,NA,NA,NA
Thüringen,2021-01-11,2150,NA,NA,NA
Schleswig-Holstein,2021-01-12,4920,NA,NA,NA
Hamburg,2021-01-12,2007,NA,NA,NA
Niedersachsen,2021-01-12,8631,NA,NA,NA
Bremen,2021-01-12,761,NA,NA,NA
Nordrhein-Westfalen,2021-01-12,9675,NA,NA,NA
Hessen,2021-01-12,2756,NA,NA,NA
Rheinland-Pfalz,2021-01-12,8687,NA,NA,NA
Baden-Württemberg,2021-01-12,6699,NA,NA,NA
Bayern,2021-01-12,13232,NA,NA,NA
Saarland,2021-01-12,1068,NA,NA,NA
Berlin,2021-01-12,3502,NA,NA,NA
Brandenburg,2021-01-12,5222,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-12,3378,NA,NA,NA
Sachsen,2021-01-12,4714,NA,NA,NA
Sachsen-Anhalt,2021-01-12,2407,NA,NA,NA
Thüringen,2021-01-12,1662,NA,NA,NA
Schleswig-Holstein,2021-01-13,4581,NA,NA,NA
Hamburg,2021-01-13,2367,NA,NA,NA
Niedersachsen,2021-01-13,7844,NA,NA,NA
Bremen,2021-01-13,1148,NA,NA,NA
Nordrhein-Westfalen,2021-01-13,35390,NA,NA,NA
Hessen,2021-01-13,1793,NA,NA,NA
Rheinland-Pfalz,2021-01-13,9330,NA,NA,NA
Baden-Württemberg,2021-01-13,6396,NA,NA,NA
Bayern,2021-01-13,17777,NA,NA,NA
Saarland,2021-01-13,1045,NA,NA,NA
Berlin,2021-01-13,4069,NA,NA,NA
Brandenburg,2021-01-13,8042,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-13,2277,NA,NA,NA
Sachsen,2021-01-13,4866,NA,NA,NA
Sachsen-Anhalt,2021-01-13,2387,NA,NA,NA
Thüringen,2021-01-13,3123,NA,NA,NA
Schleswig-Holstein,2021-01-14,5037,NA,NA,NA
Hamburg,2021-01-14,1644,NA,NA,NA
Niedersachsen,2021-01-14,7302,NA,NA,NA
Bremen,2021-01-14,1160,NA,NA,NA
Nordrhein-Westfalen,2021-01-14,10591,NA,NA,NA
Hessen,2021-01-14,3646,NA,NA,NA
Rheinland-Pfalz,2021-01-14,10046,NA,NA,NA
Baden-Württemberg,2021-01-14,7630,NA,NA,NA
Bayern,2021-01-14,15273,NA,NA,NA
Saarland,2021-01-14,1051,NA,NA,NA
Berlin,2021-01-14,3371,NA,NA,NA
Brandenburg,2021-01-14,6143,NA,NA,NA
Mecklenburg-Vorpommern,2021-01-14,2272,NA,NA,NA
Sachsen,2021-01-14,4416,NA,NA,NA
Sachsen-Anhalt,2021-01-14,2039,NA,NA,NA
Thüringen,2021-01-14,2504,NA,NA,NA
Schleswig-Holstein,2021-01-15,5519,1,NA,NA
Hamburg,2021-01-15,1710,1,NA,NA
Niedersachsen,2021-01-15,7884,1,NA,NA
Bremen,2021-01-15,904,NA,NA,NA
Nordrhein-Westfalen,2021-01-15,20511,283,NA,NA
Hessen,2021-01-15,4071,7,NA,NA
Rheinland-Pfalz,2021-01-15,10971,6,NA,NA
Baden-Württemberg,2021-01-15,7585,380,NA,NA
Bayern,2021-01-15,13304,135,NA,NA
Saarland,2021-01-15,1120,NA,NA,NA
Berlin,2021-01-15,2861,1,NA,NA
Brandenburg,2021-01-15,5194,1,NA,NA
Mecklenburg-Vorpommern,2021-01-15,1184,NA,NA,NA
Sachsen,2021-01-15,3995,48,NA,NA
Sachsen-Anhalt,2021-01-15,1770,119,NA,NA
Thüringen,2021-01-15,2299,NA,NA,NA
Schleswig-Holstein,2021-01-16,3850,NA,NA,NA
Hamburg,2021-01-16,1908,1,NA,NA
Niedersachsen,2021-01-16,2992,NA,NA,NA
Bremen,2021-01-16,425,NA,NA,NA
Nordrhein-Westfalen,2021-01-16,14278,772,NA,NA
Hessen,2021-01-16,2006,25,NA,NA
Rheinland-Pfalz,2021-01-16,5796,3,NA,NA
Baden-Württemberg,2021-01-16,6768,146,NA,NA
Bayern,2021-01-16,9435,189,NA,NA
Saarland,2021-01-16,1040,NA,NA,NA
Berlin,2021-01-16,2653,1,NA,NA
Brandenburg,2021-01-16,721,1,NA,NA
Mecklenburg-Vorpommern,2021-01-16,1,1,NA,NA
Sachsen,2021-01-16,3464,2,NA,NA
Sachsen-Anhalt,2021-01-16,161,103,NA,NA
Thüringen,2021-01-16,1358,NA,NA,NA
Schleswig-Holstein,2021-01-17,3524,6,NA,NA
Hamburg,2021-01-17,1295,423,NA,NA
Niedersachsen,2021-01-17,867,364,NA,NA
Bremen,2021-01-17,328,73,NA,NA
Nordrhein-Westfalen,2021-01-17,6985,6088,NA,NA
Hessen,2021-01-17,1224,1905,NA,NA
Rheinland-Pfalz,2021-01-17,3170,697,NA,NA
Baden-Württemberg,2021-01-17,3835,2142,NA,NA
Bayern,2021-01-17,4639,2590,NA,NA
Saarland,2021-01-17,87,165,NA,NA
Berlin,2021-01-17,1571,1951,NA,NA
Brandenburg,2021-01-17,218,22,NA,NA
Sachsen,2021-01-17,2719,139,NA,NA
Sachsen-Anhalt,2021-01-17,92,511,NA,NA
Thüringen,2021-01-17,203,1,NA,NA
Schleswig-Holstein,2021-01-18,3291,627,NA,NA
Hamburg,2021-01-18,1830,315,NA,NA
Niedersachsen,2021-01-18,4116,482,NA,NA
Bremen,2021-01-18,612,333,NA,NA
Nordrhein-Westfalen,2021-01-18,19236,1189,NA,NA
Hessen,2021-01-18,1736,1318,NA,NA
Rheinland-Pfalz,2021-01-18,8021,698,NA,NA
Baden-Württemberg,2021-01-18,7870,2004,NA,NA
Bayern,2021-01-18,6354,2956,NA,NA
Saarland,2021-01-18,603,642,NA,NA
Berlin,2021-01-18,2425,2077,NA,NA
Brandenburg,2021-01-18,2538,129,NA,NA
Mecklenburg-Vorpommern,2021-01-18,1716,865,NA,NA
Sachsen,2021-01-18,3606,305,NA,NA
Sachsen-Anhalt,2021-01-18,1248,1661,NA,NA
Thüringen,2021-01-18,2352,159,NA,NA
Schleswig-Holstein,2021-01-19,3377,428,NA,NA
Hamburg,2021-01-19,2745,429,NA,NA
Niedersachsen,2021-01-19,7227,829,NA,NA
Bremen,2021-01-19,462,328,NA,NA
Nordrhein-Westfalen,2021-01-19,28779,8699,NA,NA
Hessen,2021-01-19,4060,4972,NA,NA
Rheinland-Pfalz,2021-01-19,6945,844,NA,NA
Baden-Württemberg,2021-01-19,6126,3181,NA,NA
Bayern,2021-01-19,5895,7833,NA,NA
Saarland,2021-01-19,154,650,NA,NA
Berlin,2021-01-19,2355,2731,NA,NA
Brandenburg,2021-01-19,3851,1004,NA,NA
Mecklenburg-Vorpommern,2021-01-19,2186,911,NA,NA
Sachsen,2021-01-19,4826,928,NA,NA
Sachsen-Anhalt,2021-01-19,1918,2041,NA,NA
Thüringen,2021-01-19,2899,265,NA,NA
Schleswig-Holstein,2021-01-20,2757,95,NA,NA
Hamburg,2021-01-20,1905,715,NA,NA
Niedersachsen,2021-01-20,8715,1205,NA,NA
Bremen,2021-01-20,420,526,NA,NA
Nordrhein-Westfalen,2021-01-20,25731,15717,NA,NA
Hessen,2021-01-20,5150,5827,NA,NA
Rheinland-Pfalz,2021-01-20,6090,875,NA,NA
Baden-Württemberg,2021-01-20,6656,4297,NA,NA
Bayern,2021-01-20,4059,14278,NA,NA
Saarland,2021-01-20,216,637,NA,NA
Berlin,2021-01-20,2527,3213,NA,NA
Brandenburg,2021-01-20,3310,1307,NA,NA
Mecklenburg-Vorpommern,2021-01-20,2574,1308,NA,NA
Sachsen,2021-01-20,3559,1310,NA,NA
Sachsen-Anhalt,2021-01-20,2454,1848,NA,NA
Thüringen,2021-01-20,2878,790,NA,NA
NA,2021-01-20,2,NA,NA,NA
Schleswig-Holstein,2021-01-21,3082,163,NA,NA
Hamburg,2021-01-21,1989,685,NA,NA
Niedersachsen,2021-01-21,8353,779,NA,NA
Bremen,2021-01-21,627,526,NA,NA
Nordrhein-Westfalen,2021-01-21,10922,10908,NA,NA
Hessen,2021-01-21,4534,4832,NA,NA
Rheinland-Pfalz,2021-01-21,6514,636,NA,NA
Baden-Württemberg,2021-01-21,6208,4114,NA,NA
Bayern,2021-01-21,4654,11862,NA,NA
Saarland,2021-01-21,253,591,NA,NA
Berlin,2021-01-21,3912,2506,NA,NA
Brandenburg,2021-01-21,3873,368,NA,NA
Mecklenburg-Vorpommern,2021-01-21,2551,484,NA,NA
Sachsen,2021-01-21,2701,772,NA,NA
Sachsen-Anhalt,2021-01-21,1444,1451,NA,NA
Thüringen,2021-01-21,2917,427,NA,NA
Schleswig-Holstein,2021-01-22,2915,198,NA,NA
Hamburg,2021-01-22,1491,652,NA,NA
Niedersachsen,2021-01-22,8996,474,NA,NA
Bremen,2021-01-22,840,11,NA,NA
Nordrhein-Westfalen,2021-01-22,4825,9592,NA,NA
Hessen,2021-01-22,5993,3632,NA,NA
Rheinland-Pfalz,2021-01-22,7091,294,NA,NA
Baden-Württemberg,2021-01-22,12085,3707,NA,NA
Bayern,2021-01-22,6801,10805,NA,NA
Saarland,2021-01-22,341,557,NA,NA
Berlin,2021-01-22,4225,2152,NA,NA
Brandenburg,2021-01-22,4068,152,NA,NA
Mecklenburg-Vorpommern,2021-01-22,2645,293,NA,NA
Sachsen,2021-01-22,2814,331,NA,NA
Sachsen-Anhalt,2021-01-22,1650,711,NA,NA
Thüringen,2021-01-22,2001,65,NA,NA
NA,2021-01-22,NA,1,NA,NA
Schleswig-Holstein,2021-01-23,1414,3,NA,NA
Hamburg,2021-01-23,1395,437,NA,NA
Niedersachsen,2021-01-23,3047,972,NA,NA
Bremen,2021-01-23,800,15,NA,NA
Nordrhein-Westfalen,2021-01-23,2235,19102,NA,NA
Hessen,2021-01-23,4576,4572,NA,NA
Rheinland-Pfalz,2021-01-23,3489,177,NA,NA
Baden-Württemberg,2021-01-23,9540,4363,NA,NA
Bayern,2021-01-23,6553,13133,NA,NA
Saarland,2021-01-23,185,801,NA,NA
Berlin,2021-01-23,3347,1418,NA,NA
Brandenburg,2021-01-23,20,3,NA,NA
Mecklenburg-Vorpommern,2021-01-23,52,116,NA,NA
Sachsen,2021-01-23,2258,303,NA,NA
Sachsen-Anhalt,2021-01-23,374,746,NA,NA
Thüringen,2021-01-23,1487,159,NA,NA
Schleswig-Holstein,2021-01-24,1258,5,NA,NA
Hamburg,2021-01-24,685,462,NA,NA
Niedersachsen,2021-01-24,610,404,NA,NA
Bremen,2021-01-24,486,69,NA,NA
Nordrhein-Westfalen,2021-01-24,785,5868,NA,NA
Hessen,2021-01-24,3498,2832,NA,NA
Rheinland-Pfalz,2021-01-24,2016,6,NA,NA
Baden-Württemberg,2021-01-24,6534,3762,NA,NA
Bayern,2021-01-24,4519,6881,NA,NA
Berlin,2021-01-24,3382,859,NA,NA
Brandenburg,2021-01-24,4,NA,NA,NA
Sachsen,2021-01-24,1511,461,NA,NA
Sachsen-Anhalt,2021-01-24,152,462,NA,NA
Thüringen,2021-01-24,266,59,NA,NA
Schleswig-Holstein,2021-01-25,1653,1268,NA,NA
Hamburg,2021-01-25,1549,865,NA,NA
Niedersachsen,2021-01-25,4277,3681,NA,NA
Bremen,2021-01-25,531,262,NA,NA
Nordrhein-Westfalen,2021-01-25,1004,3907,NA,NA
Hessen,2021-01-25,4594,3867,NA,NA
Rheinland-Pfalz,2021-01-25,5174,374,NA,NA
Baden-Württemberg,2021-01-25,8915,4798,NA,NA
Bayern,2021-01-25,9881,11454,NA,NA
Saarland,2021-01-25,776,623,NA,NA
Berlin,2021-01-25,3494,1547,NA,NA
Brandenburg,2021-01-25,2952,20,NA,NA
Mecklenburg-Vorpommern,2021-01-25,1149,2357,NA,NA
Sachsen,2021-01-25,2766,1427,NA,NA
Sachsen-Anhalt,2021-01-25,1175,1666,NA,NA
Thüringen,2021-01-25,2453,589,NA,NA
NA,2021-01-25,1,NA,NA,NA
Schleswig-Holstein,2021-01-26,1405,1634,NA,NA
Hamburg,2021-01-26,1799,1241,NA,NA
Niedersachsen,2021-01-26,2257,7387,NA,NA
Bremen,2021-01-26,590,636,NA,NA
Nordrhein-Westfalen,2021-01-26,732,7544,NA,NA
Hessen,2021-01-26,4494,2545,NA,NA
Rheinland-Pfalz,2021-01-26,5504,840,NA,NA
Baden-Württemberg,2021-01-26,8220,5868,NA,NA
Bayern,2021-01-26,11007,3896,NA,NA
Saarland,2021-01-26,764,754,NA,NA
Berlin,2021-01-26,3138,2537,NA,NA
Brandenburg,2021-01-26,2545,2192,NA,NA
Mecklenburg-Vorpommern,2021-01-26,859,4516,NA,NA
Sachsen,2021-01-26,3738,2508,NA,NA
Sachsen-Anhalt,2021-01-26,1348,1530,NA,NA
Thüringen,2021-01-26,2958,1720,NA,NA
Schleswig-Holstein,2021-01-27,264,1222,NA,NA
Hamburg,2021-01-27,2413,1026,NA,NA
Niedersachsen,2021-01-27,3913,8455,NA,NA
Bremen,2021-01-27,528,456,NA,NA
Nordrhein-Westfalen,2021-01-27,1836,22019,NA,NA
Hessen,2021-01-27,6004,2908,NA,NA
Rheinland-Pfalz,2021-01-27,921,1386,NA,NA
Baden-Württemberg,2021-01-27,9233,5085,NA,NA
Bayern,2021-01-27,12179,2053,NA,NA
Saarland,2021-01-27,692,868,NA,NA
Berlin,2021-01-27,3029,2205,NA,NA
Brandenburg,2021-01-27,2809,2672,NA,NA
Mecklenburg-Vorpommern,2021-01-27,1063,2471,NA,NA
Sachsen,2021-01-27,2275,2207,NA,NA
Sachsen-Anhalt,2021-01-27,1768,954,NA,NA
Thüringen,2021-01-27,2225,2468,NA,NA
NA,2021-01-27,32,NA,NA,NA
Schleswig-Holstein,2021-01-28,1089,1943,NA,NA
Hamburg,2021-01-28,1410,1369,NA,NA
Niedersachsen,2021-01-28,2611,8884,NA,NA
Bremen,2021-01-28,551,651,NA,NA
Nordrhein-Westfalen,2021-01-28,716,5559,NA,NA
Hessen,2021-01-28,4460,1817,NA,NA
Rheinland-Pfalz,2021-01-28,901,5027,NA,NA
Baden-Württemberg,2021-01-28,7824,5626,NA,NA
Bayern,2021-01-28,11568,1856,NA,NA
Saarland,2021-01-28,819,768,NA,NA
Berlin,2021-01-28,3996,2289,NA,NA
Brandenburg,2021-01-28,3270,2791,NA,NA
Mecklenburg-Vorpommern,2021-01-28,1270,1720,NA,NA
